consulta,fecha,candidato,votos,porcentaje_consulta
Pacto Histórico,2025-10-26,Iván Cepeda,1500000,55.6
Pacto Histórico,2025-10-26,otros,1200000,44.4
Gran Consulta por Colombia,2026-03-08,Paloma Valencia,3200000,45.7
Gran Consulta por Colombia,2026-03-08,otros,3800000,54.3
Frente por la Vida,2026-03-08,Roy Barreras,650000,52.0
Frente por la Vida,2026-03-08,Daniel Quintero,450000,36.0
Consulta de las Soluciones,2026-03-08,Claudia López,400000,73.0
Consulta de las Soluciones,2026-03-08,Leonardo Huertas,148000,27.0
